Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
8.875,30,0,0.125,0.125,10,5.731422719011211,40,97.3142271901121
9.0,30,0,0.125,0.125,10,5.65977993502357,40,96.5977993502357
9.125,30,0,0.125,0.125,10,5.589032685835775,40,95.89032685835775
9.25,30,0,0.125,0.125,10,5.519169777262829,40,95.19169777262829
9.375,30,0,0.125,0.125,10,5.450180155047043,40,94.50180155047043
9.5,30,0,0.125,0.125,10,5.382052903108955,40,93.82052903108955
9.625,30,0,0.125,0.125,10,5.314777241820093,40,93.14777241820093
9.75,30,0,0.125,0.125,10,5.248342526297341,40,92.48342526297341
9.875,30,0,0.125,0.125,10,5.182738244718624,40,91.82738244718624
10.0,30,0,0.125,0.125,10,5.117954016659641,40,91.17954016659641
10.125,30,0,0.125,0.125,10,5.053979591451396,40,90.53979591451396
10.25,30,0,0.125,0.125,10,4.9908048465582535,40,89.90804846558254
10.375,30,0,0.125,0.125,10,4.928419785976276,40,89.28419785976276
10.5,30,0,0.125,0.125,10,4.866814538651572,40,88.66814538651572
10.625,30,0,0.125,0.125,10,4.805979356918426,40,88.05979356918427
10.75,30,0,0.125,0.125,10,4.745904614956946,40,87.45904614956946
10.875,30,0,0.125,0.125,10,4.6865808072699835,40,86.86580807269983
11.0,30,0,0.125,0.125,10,4.627998547179109,40,86.2799854717911
11.125,30,0,0.125,0.125,10,4.5701485653393705,40,85.7014856533937
11.25,30,0,0.125,0.125,10,4.513021708272627,40,85.13021708272628
11.375,30,0,0.125,0.125,10,4.45660893691922,40,84.5660893691922
11.5,30,0,0.125,0.125,10,4.400901325207729,40,84.0090132520773
11.625,30,0,0.125,0.125,10,4.345890058642633,40,83.45890058642632
11.75,30,0,0.125,0.125,10,4.291566432909599,40,82.91566432909599
11.875,30,0,0.125,0.125,10,4.237921852498229,40,82.37921852498229
12.0,30,0,0.125,0.125,10,4.184947829342002,40,81.84947829342002
12.125,30,0,0.125,0.125,10,4.132635981475227,40,81.32635981475227
12.25,30,0,0.125,0.125,10,4.0809780317067865,40,80.80978031706786
12.375,30,0,0.125,0.125,10,4.029965806310452,40,80.29965806310452
12.5,30,0,0.125,0.125,10,3.979591233731571,40,79.79591233731571
12.625,30,0,0.125,0.125,10,3.929846343309927,40,79.29846343309927
12.75,30,0,0.125,0.125,10,3.8807232640185534,40,78.80723264018553
12.875,30,0,0.125,0.125,10,3.832214223218321,40,78.32214223218321
13.0,30,0,0.125,0.125,10,3.784311545428092,40,77.84311545428092
